20.0	0.000	0.5985975761
20.0	0.001	0.5974458434
20.0	0.002	0.5978166901
20.0	0.003	0.5984294341
20.0	0.004	0.5992775533
20.0	0.005	0.6003591198
20.0	0.006	0.6016718038
20.0	0.007	0.6032175450
20.0	0.008	0.6049916771
20.0	0.009	0.6069866026
20.0	0.010	0.6092136534
20.0	0.011	0.6116469222
20.0	0.012	0.6143103042
20.0	0.013	0.6171891687
20.0	0.014	0.6202835029
20.0	0.015	0.6235916616
20.0	0.016	0.6271078446
20.0	0.017	0.6308302379
20.0	0.018	0.6347567091
20.0	0.019	0.6388818705
20.0	0.020	0.6432208122
20.0	0.021	0.6477102873
20.0	0.022	0.6524044149
20.0	0.023	0.6572778820
20.0	0.024	0.6623245546
20.0	0.025	0.6675612117
20.0	0.026	0.6729083346
20.0	0.027	0.6784318199
20.0	0.028	0.6840993852
20.0	0.029	0.6899009394
20.0	0.030	0.6958316536
20.0	0.031	0.7018722356
20.0	0.032	0.7080223242
20.0	0.033	0.7142722127
20.0	0.034	0.7205970757
20.0	0.035	0.7269968430
20.0	0.036	0.7334571898
20.0	0.037	0.7399645959
20.0	0.038	0.7465062990
20.0	0.039	0.7530680261
20.0	0.040	0.7596441519
20.0	0.041	0.7661943945
20.0	0.042	0.7727292925
20.0	0.043	0.7792252249
20.0	0.044	0.7856645312
20.0	0.045	0.7920335140
20.0	0.046	0.7983140740
20.0	0.047	0.8044899225
20.0	0.048	0.8105436132
20.0	0.049	0.8164598074
20.0	0.050	0.8222473003
20.1	0.000	0.5952479547
20.1	0.001	0.5940900983
20.1	0.002	0.5944660858
20.1	0.003	0.5950884457
20.1	0.004	0.5959469714
20.1	0.005	0.5970434156
20.1	0.006	0.5983780436
20.1	0.007	0.5999465180
20.1	0.008	0.6017452681
20.1	0.009	0.6037711204
20.1	0.010	0.6060211805
20.1	0.011	0.6084995467
20.1	0.012	0.6112011246
20.1	0.013	0.6141231191
20.1	0.014	0.6172625496
20.1	0.015	0.6206178400
20.1	0.016	0.6241857246
20.1	0.017	0.6279628564
20.1	0.018	0.6319466061
20.1	0.019	0.6361313457
20.1	0.020	0.6405076184
20.1	0.021	0.6450868803
20.1	0.022	0.6498478536
20.1	0.023	0.6547906545
20.1	0.024	0.6599084042
20.1	0.025	0.6651866417
20.1	0.026	0.6706408577
20.1	0.027	0.6762411658
20.1	0.028	0.6819860631
20.1	0.029	0.6878674393
20.1	0.030	0.6938747328
20.1	0.031	0.6999996768
20.1	0.032	0.7062300901
20.1	0.033	0.7125539984
20.1	0.034	0.7189637627
20.1	0.035	0.7254488748
20.1	0.036	0.7319900543
20.1	0.037	0.7385774697
20.1	0.038	0.7451978709
20.1	0.039	0.7518369959
20.1	0.040	0.7584821958
20.1	0.041	0.7651128918
20.1	0.042	0.7717189021
20.1	0.043	0.7782817206
20.1	0.044	0.7847890083
20.1	0.045	0.7912211345
20.1	0.046	0.7975613869
20.1	0.047	0.8037930971
20.1	0.048	0.8098981157
20.1	0.049	0.8158570149
20.1	0.050	0.8216426780
20.2	0.000	0.5918942085
20.2	0.001	0.5907304784
20.2	0.002	0.5911120244
20.2	0.003	0.5917432108
20.2	0.004	0.5926145550
20.2	0.005	0.5937270507
20.2	0.006	0.5950807592
20.2	0.007	0.5966723626
20.2	0.008	0.5984973093
20.2	0.009	0.6005525198
20.2	0.010	0.6028367770
20.2	0.011	0.6053501703
20.2	0.012	0.6080909032
20.2	0.013	0.6110555870
20.2	0.014	0.6142406918
20.2	0.015	0.6176445599
20.2	0.016	0.6212643772
20.2	0.017	0.6250971621
20.2	0.018	0.6291371420
20.2	0.019	0.6333822863
20.2	0.020	0.6378277750
20.2	0.021	0.6424656386
20.2	0.022	0.6472944668
20.2	0.023	0.6523070571
20.2	0.024	0.6574966747
20.2	0.025	0.6628589557
20.2	0.026	0.6683787669
20.2	0.027	0.6740562102
20.2	0.028	0.6798797141
20.2	0.029	0.6858413981
20.2	0.030	0.6919287046
20.2	0.031	0.6981347150
20.2	0.032	0.7044472159
20.2	0.033	0.7108569411
20.2	0.034	0.7173535077
20.2	0.035	0.7239115065
20.2	0.036	0.7305338941
20.2	0.037	0.7372014866
20.2	0.038	0.7439016101
20.2	0.039	0.7506176170
20.2	0.040	0.7573373337
20.2	0.041	0.7640433771
20.2	0.042	0.7707212662
20.2	0.043	0.7773544393
20.2	0.044	0.7839263034
20.2	0.045	0.7904216138
20.2	0.046	0.7968213462
20.2	0.047	0.8031087121
20.2	0.048	0.8092659447
20.2	0.049	0.8152758407
20.2	0.050	0.8211253305
20.3	0.000	0.5885364991
20.3	0.001	0.5873667705
20.3	0.002	0.5877539150
20.3	0.003	0.5883942353
20.3	0.004	0.5892782257
20.3	0.005	0.5904068415
20.3	0.006	0.5917799219
20.3	0.007	0.5933959753
20.3	0.008	0.5952461069
20.3	0.009	0.5973311699
20.3	0.010	0.5996485050
20.3	0.011	0.6021983765
20.3	0.012	0.6049788115
20.3	0.013	0.6079862825
20.3	0.014	0.6112183234
20.3	0.015	0.6146704826
20.3	0.016	0.6183420074
20.3	0.017	0.6222255846
20.3	0.018	0.6263280507
20.3	0.019	0.6306333193
20.3	0.020	0.6351406713
20.3	0.021	0.6398469024
20.3	0.022	0.6447432524
20.3	0.023	0.6498262758
20.3	0.024	0.6550884470
20.3	0.025	0.6605211248
20.3	0.026	0.6661208905
20.3	0.027	0.6718764444
20.3	0.028	0.6777793034
20.3	0.029	0.6838269321
20.3	0.030	0.6899893367
20.3	0.031	0.6962770243
20.3	0.032	0.7026722481
