	0.200	0.210	0.220	0.230	0.240	0.250	0.260	0.270	0.280	0.290	0.300
20.0	0.9654543207	0.9798773690	0.9830785236	0.9767064470	0.9656319390	0.9781164081	0.9828084532	0.9783771486	0.9719776115	0.9839865996	0.9922381580
20.1	0.9709220669	0.9763955552	0.9830451698	0.9797319506	0.9688199659	0.9741443400	0.9819181224	0.9807427467	0.9676811551	0.9796261448	0.9891475843
20.2	0.9753851657	0.9718092348	0.9819257846	0.9817088261	0.9735319279	0.9690676675	0.9799353657	0.9820504668	0.9725073341	0.9747533823	0.9855468217
20.3	0.9788342640	0.9661288623	0.9797228417	0.9826328288	0.9772354982	0.9655281583	0.9768645991	0.9822974831	0.9763279114	0.9693735173	0.9814396258
20.4	0.9812621336	0.9656062374	0.9764412093	0.9825019746	0.9799229350	0.9707002373	0.9727126620	0.9814832619	0.9791349105	0.9634922965	0.9768302809
20.5	0.9826636867	0.9708428816	0.9720881393	0.9813165445	0.9815886209	0.9748941228	0.9674888017	0.9796095627	0.9809224706	0.9663428844	0.9717235949
20.6	0.9830359862	0.9751120640	0.9666732515	0.9790790839	0.9822290739	0.9781012647	0.9679825424	0.9766804340	0.9816868597	0.9711865759	0.9661248944
20.7	0.9823782517	0.9784051737	0.9614967235	0.9757943969	0.9818429555	0.9803151245	0.9725798335	0.9727022053	0.9814264820	0.9750664708	0.9600400193
20.8	0.9806918618	0.9807155685	0.9671969994	0.9714695363	0.9804310727	0.9815311887	0.9762180080	0.9676834726	0.9801418809	0.9779747902	0.9534753167
20.9	0.9779803503	0.9820385881	0.9719695036	0.9661137882	0.9779963767	0.9817469781	0.9788898249	0.9701084001	0.9778357386	0.9799057028	0.9594533256
21.0	0.9742493998	0.9823715641	0.9758049402	0.9597386525	0.9745439568	0.9809620528	0.9805899666	0.9741509987	0.9745128698	0.9808553374	0.9651411849
21.1	0.9695068290	0.9817138248	0.9786958387	0.9646189693	0.9700810297	0.9791780129	0.9813150496	0.9772534964	0.9701802122	0.9808217900	0.9699216735
21.2	0.9637625764	0.9800666970	0.9806365680	0.9696568474	0.9646169242	0.9763984958	0.9810636306	0.9794098633	0.9717935686	0.9798051277	0.9737856622
21.3	0.9651666587	0.9774335028	0.9816233480	0.9737911307	0.9581630619	0.9726291679	0.9798362100	0.9806159084	0.9753283659	0.9778073891	0.9767257718
21.4	0.9702029028	0.9738195536	0.9816542567	0.9770140214	0.9632242731	0.9678777141	0.9776352308	0.9808692878	0.9779424274	0.9748325794	0.9787363876
21.5	0.9743525285	0.9692321386	0.9807292339	0.9793194407	0.9683250316	0.9621538211	0.9744650734	0.9801695089	0.9796307916	0.9727397388	0.9798136698
21.6	0.9776078586	0.9636805108	0.9788500814	0.9807030404	0.9725505226	0.9572713904	0.9703320472	0.9785179317	0.9803902541	0.9758958925	0.9799555613
21.7	0.9799628703	0.9606232954	0.9760204592	0.9811622108	0.9758930092	0.9630885049	0.9652443779	0.9759177664	0.9802193733	0.9781521597	0.9791617909
21.8	0.9814132066	0.9661177470	0.9722458791	0.9806960859	0.9783463712	0.9680626733	0.9592121914	0.9723740662	0.9791184736	0.9795043617	0.9774338746
21.9	0.9819561841	0.9707697166	0.9675336930	0.9793055448	0.9799061166	0.9721850323	0.9581896843	0.9678937187	0.9770896446	0.9799499946	0.9755723912
22.0	0.9815907984	0.9745709625	0.9618930795	0.9769932103	0.9805693895	0.9754482361	0.9637438067	0.9624854317	0.9741367368	0.9794882329	0.9777301360
22.1	0.9803177255	0.9775147502	0.9577979591	0.9737634436	0.9803349755	0.9778464700	0.9684745731	0.9561597162	0.9702653550	0.9781199318	0.9790080113
22.2	0.9781393205	0.9795958645	0.9634696372	0.9696223366	0.9792033036	0.9793754606	0.9723737655	0.9596985393	0.9654828469	0.9758476254	0.9794037132
22.3	0.9750596140	0.9808106182	0.9683354786	0.9645776999	0.9771764462	0.9800324833	0.9754346105	0.9649103390	0.9597982897	0.9726755217	0.9789165283
22.4	0.9710843036	0.9811568594	0.9723871981	0.9586390482	0.9742581142	0.9798163675	0.9776517909	0.9693159695	0.9561474337	0.9686094952	0.9775473350
22.5	0.9662207442	0.9806339746	0.9756178970	0.9565887584	0.9704536512	0.9787274982	0.9790214552	0.9729079595	0.9617204035	0.9636570760	0.9752986017
22.6	0.9604779339	0.9792428901	0.9780220744	0.9622243303	0.9657700231	0.9767678156	0.9795412240	0.9756802177	0.9665101925	0.9578274354	0.9721743827
22.7	0.9538664977	0.9769860705	0.9795956366	0.9670844742	0.9602158057	0.9739408118	0.9792101944	0.9776280428	0.9705088603	0.9588341955	0.9681803108
22.8	0.9463986674	0.9738675140	0.9803359043	0.9711612120	0.9538011687	0.9702515242	0.9780289415	0.9787481317	0.9737097782	0.9639255194	0.9633235868
22.9	0.9380882594	0.9698927456	0.9802416171	0.9744478519	0.9569230061	0.9657065267	0.9759995173	0.9790385849	0.9761076399	0.9682465323	0.9576129670
23.0	0.9289506489	0.9650688072	0.9793129356	0.9769389988	0.9623373669	0.9603139182	0.9731254472	0.9784989098	0.9776984703	0.9717902248	0.9613105677
23.1	0.9190027417	0.9594042451	0.9775514410	0.9786305635	0.9670012802	0.9540833078	0.9694117239	0.9771300217	0.9784796322	0.9745508488	0.9659245191
23.2	0.9082629424	0.9529090948	0.9749601326	0.9795197693	0.9709073441	0.9529577714	0.9648647986	0.9749342419	0.9784498307	0.9765239260	0.9697808715
23.3	0.8967511211	0.9455948635	0.9715434226	0.9796051566	0.9740493594	0.9586971119	0.9594925700	0.9719152941	0.9776091152	0.9777062560	0.9728735013
