0.0	0.4311426650	0.5688573350
0.2	0.4313451685	0.5686548315
0.4	0.4319232196	0.5680767804
0.6	0.4328928109	0.5671071891
0.8	0.4342686376	0.5657313624
1.0	0.4360640054	0.5639359946
1.2	0.4382907463	0.5617092537
1.4	0.4409591409	0.5590408591
1.6	0.4440778491	0.5559221509
1.8	0.4476538492	0.5523461508
2.0	0.4516923851	0.5483076149
2.2	0.4561969232	0.5438030768
2.4	0.4611691187	0.5388308813
2.6	0.4666087900	0.5333912100
2.8	0.4725139050	0.5274860950
3.0	0.4788805749	0.5211194251
3.2	0.4857030593	0.5142969407
3.4	0.4929737806	0.5070262194
3.6	0.5006833480	0.4993166520
3.8	0.5088205914	0.4911794086
4.0	0.5173726042	0.4826273958
4.2	0.5263247964	0.4736752036
4.4	0.5356609551	0.4643390449
4.6	0.5453633148	0.4546366852
4.8	0.5554126356	0.4445873644
5.0	0.5657882887	0.4342117113
5.2	0.5764683497	0.4235316503
5.4	0.5874296986	0.4125703014
5.6	0.5986481259	0.4013518741
5.8	0.6100984444	0.3899015556
6.0	0.6217546059	0.3782453941
6.2	0.6335898225	0.3664101775
6.4	0.6455766915	0.3544233085
6.6	0.6576873227	0.3423126773
6.8	0.6698934694	0.3301065306
7.0	0.6821666593	0.3178333407
7.2	0.6944783271	0.3055216729
7.4	0.7067999474	0.2932000526
7.6	0.7191031660	0.2808968340
7.8	0.7313599307	0.2686400693
8.0	0.7435426199	0.2564573801
8.2	0.7556241672	0.2443758328
8.4	0.7675781842	0.2324218158
8.6	0.7793790780	0.2206209220
8.8	0.7910021637	0.2089978363
9.0	0.8024237723	0.1975762277
9.2	0.8136213515	0.1863786485
9.4	0.8245735609	0.1754264391
9.6	0.8352603591	0.1647396409
9.8	0.8456630836	0.1543369164
10.0	0.8557645230	0.1442354770
10.2	0.8655489802	0.1344510198
10.4	0.8750023271	0.1249976729
10.6	0.8841120501	0.1158879499
10.8	0.8928672866	0.1071327134
11.0	0.9012588519	0.0987411481
11.2	0.9092792565	0.0907207435
11.4	0.9169227138	0.0830772862
11.6	0.9241851381	0.0758148619
11.8	0.9310641331	0.0689358669
12.0	0.9375589711	0.0624410289
12.2	0.9436705624	0.0563294376
12.4	0.9494014159	0.0505985841
12.6	0.9547555909	0.0452444091
12.8	0.9597386402	0.0402613598
13.0	0.9643575451	0.0356424549
13.2	0.9686206425	0.0313793575
13.4	0.9725375453	0.0274624547
13.6	0.9761190551	0.0238809449
13.8	0.9793770691	0.0206229309
14.0	0.9823244818	0.0176755182
14.2	0.9849750806	0.0150249194
14.4	0.9873434379	0.0126565621
14.6	0.9894447986	0.0105552014
14.8	0.9912949655	0.0087050345
15.0	0.9929101814	0.0070898186
15.2	0.9943070098	0.0056929902
15.4	0.9955022149	0.0044977851
15.6	0.9965126412	0.0034873588
15.8	0.9973550934	0.0026449066
16.0	0.9980462177	0.0019537823
16.2	0.9986023853	0.0013976147
16.4	0.9990395777	0.0009604223
16.6	0.9993732767	0.0006267233
16.8	0.9996183566	0.0003816434
17.0	0.9997889827	0.0002110173
17.2	0.9998985142	0.0001014858
17.4	0.9999594129	0.0000405871
17.6	0.9999831582	0.0000168418
17.8	0.9999801700	0.0000198300
18.0	0.9999597371	0.0000402629
18.2	0.9999299553	0.0000700447
18.4	0.9998976723	0.0001023277
18.6	0.9998684414	0.0001315586
18.8	0.9998464844	0.0001535156
19.0	0.9998346629	0.0001653371
