step	position_z	abs(a)	abs(b)
120	12.0000000000	0.1815073483	0.8184926517
121	12.1000000000	0.1834465790	0.8165534210
122	12.2000000000	0.1853705949	0.8146294051
123	12.3000000000	0.1872788636	0.8127211364
124	12.4000000000	0.1891708569	0.8108291431
125	12.5000000000	0.1910460511	0.8089539489
126	12.6000000000	0.1929039274	0.8070960726
127	12.7000000000	0.1947439715	0.8052560285
128	12.8000000000	0.1965656742	0.8034343258
129	12.9000000000	0.1983685312	0.8016314688
130	13.0000000000	0.2001520438	0.7998479562
131	13.1000000000	0.2019157182	0.7980842818
132	13.2000000000	0.2036590664	0.7963409336
133	13.3000000000	0.2053816058	0.7946183942
134	13.4000000000	0.2070828598	0.7929171402
135	13.5000000000	0.2087623575	0.7912376425
136	13.6000000000	0.2104196340	0.7895803660
137	13.7000000000	0.2120542308	0.7879457692
138	13.8000000000	0.2136656955	0.7863343045
139	13.9000000000	0.2152535819	0.7847464181
140	14.0000000000	0.2168174508	0.7831825492
141	14.1000000000	0.2183568693	0.7816431307
142	14.2000000000	0.2198714113	0.7801285887
143	14.3000000000	0.2213606577	0.7786393423
144	14.4000000000	0.2228241963	0.7771758037
145	14.5000000000	0.2242616220	0.7757383780
146	14.6000000000	0.2256725372	0.7743274628
147	14.7000000000	0.2270565512	0.7729434488
148	14.8000000000	0.2284132810	0.7715867190
149	14.9000000000	0.2297423512	0.7702576488
150	15.0000000000	0.2310433939	0.7689566061
151	15.1000000000	0.2323160490	0.7676839510
152	15.2000000000	0.2335599644	0.7664400356
153	15.3000000000	0.2347747957	0.7652252043
154	15.4000000000	0.2359602068	0.7640397932
155	15.5000000000	0.2371158696	0.7628841304
156	15.6000000000	0.2382414642	0.7617585358
157	15.7000000000	0.2393366791	0.7606633209
158	15.8000000000	0.2404012113	0.7595987887
159	15.9000000000	0.2414347660	0.7585652340
160	16.0000000000	0.2424370573	0.7575629427
161	16.1000000000	0.2434078078	0.7565921922
162	16.2000000000	0.2443467488	0.7556532512
163	16.3000000000	0.2452536204	0.7547463796
164	16.4000000000	0.2461281717	0.7538718283
165	16.5000000000	0.2469701606	0.7530298394
166	16.6000000000	0.2477793541	0.7522206459
167	16.7000000000	0.2485555282	0.7514444718
168	16.8000000000	0.2492984682	0.7507015318
169	16.9000000000	0.2500079683	0.7499920317
170	17.0000000000	0.2506838324	0.7493161676
171	17.1000000000	0.2513258732	0.7486741268
172	17.2000000000	0.2519339132	0.7480660868
173	17.3000000000	0.2525077840	0.7474922160
174	17.4000000000	0.2530473268	0.7469526732
